spec,unit,Aksu_M,Aksu_Efcrus,Aksu_AD,Dunhuang_M,Dunhuang_Efcrus,Dunhuang_AD,Zhenbeitai_M,Zhenbeitai_Efcrus,Zhenbeitai_AD,Changwu_M,Changwu_Efcrus,Changwu_AD
TSP,£gg,926 (825),,,317 (513),,,257 (320),,,210 (136),,
Al,£gg,24 (24),1,5.9 (0.3),17 (26),1,6.9 (0.8),14 (17),1,7.4 (1.4),10 (8.1),1,6.6 (0.5)
As,ng,116 (89),386,,99 (101),1025,,115 (110),621,,110 (71),1116,
Br,ng,36 (52),ND^d,,30 (34),ND,,40 (54),ND,,28 (27),ND,
Ca,£gg,49 (48),5.5,12 (0.6),16 (22),3.1,7.7 (1.7),11 (12),2.3,6.2 (1.4),11 (8.2),3.1,7.6 (1.0)
Cl,£gg,4.9 (3.7),ND,,0.83 (3.7),ND,,0.39 (0.52),ND,,0.47 (0.49),ND,
Cr,ng,56 (84),3.8,,22 (56),1.5,,11 (37),2.5,,6.9 (13),1.8,
Cu,ng,112 (150),12,,100 (124),14,,44 (77),11,,33 (40),12,
Fe,£gg,25 (27),2.3,5.9 (0.3),60 (106),1.4,4.0 (0.9),7.3 (8.2),1.2,3.9 (0.5),6.2 (4.8),1.4,4.0 (0.4)
K,£gg,13 (13),1.5,3.0 (0.1),4.5 (6.7),0.91,2.1 (0.4),3.5 (3.8),0.77,1.9 (0.3),3.8 (2.4),1.3,2.8 (1.0)
Mg,£gg,12 (13),2.9,2.8 (0.1),3.7 (6.4),1.5,1.7 (1.5),3.6 (8.4),1.9,1.5 (1.3),2.1 (2.2),0.9,1.0 (1.0)
Mn,£gg,0.44 (0.45),2.3,0.1 (0.02),0.17 (0.25),2.1,0.1 (0.05),0.17 (0.17),2.2,0.1 (0.05),0.14 (0.09),2.2,0.1 (0.05)
Ni,ng,192 (245),30,,73 (116),22,,67 (74),25,,49 (52),22,
P,£gg,1.5 (1.1),9.8,,0.84 (0.68),15,,1.0 (0.95),11,,0.92 (0.53),13,
Pb,ng,159 (312),23,,70 (123),50,,64 (86),40,,80 (114),53,
S,£gg,3.3 (1.7),ND,,1.4 (1.5),ND,,1.4 (1.0),ND,,3.1 (2.6),ND,
Se,ng,83 (143),5.7,,30 (33),11,,58 (73),14,,39 (43),11,
Si,£gg,97 (95),1.1,24 (0.5),65 (96),1.1,29 (2.7),58 (62),1.1,32 (1.9),44 (34),1.1,29 (2.0)
Ti,£gg,2.1 (2.2),2.3,0.5 (0.03),1.3 (2.2),1.8,0.5 (0.13),1.1 (1.5),2.1,0.6 (0.2),0.76 (0.63),1.9,0.5 (0.09)
V,ng,44 (138),1.4,,16 (47),0.84,,10 (36),0.92,,5.0 (7.8),0.8,
Zn,ng,42 (61),2,,20 (37),3.1,,28 (47),4.2,,55 (74),12,
Estimated AD,£gg,412 (410),,,224 (334),,,186 (204),,,152 (116),,
Sum of trace elements,£gg,2.4 (2.1),,,1.3 (1.1),,,1.8 (1.4),,,1.3 (0.65),,
AD of TSP,%,45,,,67,,,82,,,69,,
