spec,mon,sum_file
acetylene,07,1.1886164275054512e-10
acetylene,11,1.1752936124320712e-10
acetylene,10,1.1789876019907553e-10
acetylene,06,1.185542081172386e-10
acetylene,01,1.1691743406760935e-10
acetylene,03,1.1743941930042467e-10
acetylene,02,1.172231617330155e-10
acetylene,09,1.1818189482593056e-10
acetylene,05,1.1847167691314553e-10
acetylene,04,1.1826663259828507e-10
acetylene,12,1.1638796870716561e-10
acetylene,08,1.186701570343729e-10
H2,07,3.727170308498451e-11
H2,11,3.6761441113419835e-11
H2,10,3.6972772066157233e-11
H2,06,3.710255366828896e-11
H2,01,3.6640464967652164e-11
H2,03,3.68087921254201e-11
H2,02,3.648867319405724e-11
H2,09,3.697718867212707e-11
H2,05,3.713616220091254e-11
H2,04,3.699206566065705e-11
H2,12,3.648169613623686e-11
H2,08,3.722067098976822e-11
dimethylhexadiene,07,7.278686986467164e-09
dimethylhexadiene,11,7.211628183512175e-09
dimethylhexadiene,10,7.230220866460968e-09
dimethylhexadiene,06,7.263211809771519e-09
dimethylhexadiene,01,7.180828820452234e-09
dimethylhexadiene,03,7.2071020262853835e-09
dimethylhexadiene,02,7.196216067484329e-09
dimethylhexadiene,09,7.244473021472686e-09
dimethylhexadiene,05,7.259057799302582e-09
dimethylhexadiene,04,7.248738498333296e-09
dimethylhexadiene,12,7.154178582879922e-09
dimethylhexadiene,08,7.269048030167369e-09
BC,07,2.06104999733725e-09
BC,11,2.0328334571217965e-09
BC,10,2.044519220589791e-09
BC,06,2.051696146310178e-09
BC,01,2.0261434752200103e-09
BC,03,2.0354524732368873e-09
BC,02,2.017750411198449e-09
BC,09,2.0447643578336283e-09
BC,05,2.0535551037426103e-09
BC,04,2.0455865890056657e-09
BC,12,2.0173640535858794e-09
BC,08,2.0582282544978625e-09
toluene,07,1.076419509082882e-09
toluene,11,1.064873078604478e-09
toluene,10,1.0680744066959846e-09
toluene,06,1.0737549738237817e-09
toluene,01,1.0595697652604485e-09
toluene,03,1.0640938130634936e-09
toluene,02,1.0622190904641116e-09
toluene,09,1.0705282216250112e-09
toluene,05,1.0730397681513182e-09
toluene,04,1.0712627451781032e-09
toluene,12,1.0549808804327654e-09
toluene,08,1.0747599477056724e-09
SO2,07,1.0960940244331141e-07
SO2,11,1.081088001342323e-07
SO2,10,1.0873029765434694e-07
SO2,06,1.0911197279028784e-07
SO2,01,1.0775304559729193e-07
SO2,03,1.0824807361586863e-07
SO2,02,1.0730666843983272e-07
SO2,09,1.0874330058641135e-07
SO2,05,1.0921083060111414e-07
SO2,04,1.0878703449179739e-07
SO2,12,1.0728614086019661e-07
SO2,08,1.0945933581751888e-07
OC,07,2.193120796079029e-09
OC,11,2.1630957025564612e-09
OC,10,2.1755308665660777e-09
OC,06,2.1831678687078693e-09
OC,01,2.1559771745671696e-09
OC,03,2.1658823623482704e-09
OC,02,2.147046096467875e-09
OC,09,2.175791324887655e-09
OC,05,2.1851449538701218e-09
OC,04,2.1766659585864545e-09
OC,12,2.1466355359933686e-09
OC,08,2.1901180868866277e-09
CO,07,1.8635851972703676e-08
CO,11,1.8380720945287976e-08
CO,10,1.8486382202809182e-08
CO,06,1.855127962357983e-08
CO,01,1.832022888947904e-08
CO,03,1.840439978195718e-08
CO,02,1.8244339372586182e-08
CO,09,1.8488597319787914e-08
CO,05,1.8568082182923717e-08
CO,04,1.8496031373160804e-08
CO,12,1.8240845278683082e-08
CO,08,1.8610334606705692e-08
"1,3,5-trimethylbenzene",07,3.4825133887750326e-09
"1,3,5-trimethylbenzene",11,3.4647493762918202e-09
"1,3,5-trimethylbenzene",10,3.4696745476736623e-09
"1,3,5-trimethylbenzene",06,3.478413557189697e-09
"1,3,5-trimethylbenzene",01,3.45659034728385e-09
"1,3,5-trimethylbenzene",03,3.46355055746983e-09
"1,3,5-trimethylbenzene",02,3.4606666421410637e-09
"1,3,5-trimethylbenzene",09,3.473449528001993e-09
"1,3,5-trimethylbenzene",05,3.4773133261722933e-09
"1,3,5-trimethylbenzene",04,3.4745795129964563e-09
"1,3,5-trimethylbenzene",12,3.4495304390702586e-09
"1,3,5-trimethylbenzene",08,3.47995965377379e-09
NMVOC,07,4.298196643048868e-08
NMVOC,11,4.271286968560162e-08
NMVOC,10,4.282250287701572e-08
NMVOC,06,4.2894228613477026e-08
NMVOC,01,4.264660802277831e-08
NMVOC,03,4.27356141585733e-08
NMVOC,02,4.2573670810952535e-08
NMVOC,09,4.282810195377351e-08
NMVOC,05,4.291000621492458e-08
NMVOC,04,4.2836294511516826e-08
NMVOC,12,4.2561708823996014e-08
NMVOC,08,4.295418776223414e-08
propylene,07,4.536553355194428e-09
propylene,11,4.485704252488176e-09
propylene,10,4.499802308544076e-09
propylene,06,4.52481874191335e-09
propylene,01,4.462349156852952e-09
propylene,03,4.482271886985245e-09
propylene,02,4.474016712663342e-09
propylene,09,4.510608775376568e-09
propylene,05,4.5216692612370935e-09
propylene,04,4.5138439652703255e-09
propylene,12,4.442140433269515e-09
propylene,08,4.529244534978716e-09
isobutane,07,1.695228135645266e-08
isobutane,11,1.688522566212214e-08
isobutane,10,1.69038170128033e-08
isobutane,06,1.6936809288381482e-08
isobutane,01,1.6854423634526938e-08
isobutane,03,1.6880701281252186e-08
isobutane,02,1.6869810437469823e-08
isobutane,09,1.691807050008265e-08
isobutane,05,1.6932654389734125e-08
isobutane,04,1.692233198014037e-08
isobutane,12,1.6827774729222256e-08
isobutane,08,1.6942641067885233e-08
trimethyl-benzenes,07,7.329802875766234e-10
trimethyl-benzenes,11,7.247645261720947e-10
trimethyl-benzenes,10,7.270422597294157e-10
trimethyl-benzenes,06,7.310841931840173e-10
trimethyl-benzenes,01,7.209908781113938e-10
trimethyl-benzenes,03,7.24209858748992e-10
trimethyl-benzenes,02,7.228760923183586e-10
trimethyl-benzenes,09,7.287883074802437e-10
trimethyl-benzenes,05,7.305753779718316e-10
trimethyl-benzenes,04,7.293110559913885e-10
trimethyl-benzenes,12,7.177259342405762e-10
trimethyl-benzenes,08,7.317993988564808e-10
n-butane,07,6.29478069669176e-09
n-butane,11,6.29478069669176e-09
n-butane,10,6.29478069669176e-09
n-butane,06,6.29478069669176e-09
n-butane,01,6.29478069669176e-09
n-butane,03,6.29478069669176e-09
n-butane,02,6.29478069669176e-09
n-butane,09,6.29478069669176e-09
n-butane,05,6.29478069669176e-09
n-butane,04,6.29478069669176e-09
n-butane,12,6.29478069669176e-09
n-butane,08,6.29478069669176e-09
propane,07,5.9707834232369805e-09
propane,11,5.9707834232369805e-09
propane,10,5.9707834232369805e-09
propane,06,5.9707834232369805e-09
propane,01,5.9707834232369805e-09
propane,03,5.9707834232369805e-09
propane,02,5.9707834232369805e-09
propane,09,5.9707834232369805e-09
propane,05,5.9707834232369805e-09
propane,04,5.9707834232369805e-09
propane,12,5.9707834232369805e-09
propane,08,5.9707834232369805e-09
benzene,07,1.8654982003596388e-09
benzene,11,1.8448479410793084e-09
benzene,10,1.8505733612173003e-09
benzene,06,1.8607325680264353e-09
benzene,01,1.8353630837353307e-09
benzene,03,1.843453945049589e-09
benzene,02,1.8401014045821285e-09
benzene,09,1.8549618507890386e-09
benzene,05,1.859453591102067e-09
benzene,04,1.8562753556494727e-09
benzene,12,1.8271563151373016e-09
benzene,08,1.8625303521702108e-09
c10_aromatics,07,1.7588356326925236e-09
c10_aromatics,11,1.7588356326925236e-09
c10_aromatics,10,1.7588356326925236e-09
c10_aromatics,06,1.7588356326925236e-09
c10_aromatics,01,1.7588356326925236e-09
c10_aromatics,03,1.7588356326925236e-09
c10_aromatics,02,1.7588356326925236e-09
c10_aromatics,09,1.7588356326925236e-09
c10_aromatics,05,1.7588356326925236e-09
c10_aromatics,04,1.7588356326925236e-09
c10_aromatics,12,1.7588356326925236e-09
c10_aromatics,08,1.7588356326925236e-09
NOx,07,1.6923866041906876e-07
NOx,11,1.6692166582288337e-07
NOx,10,1.6788125378752738e-07
NOx,06,1.684705779325668e-07
NOx,01,1.663724162881408e-07
NOx,03,1.6713671868728852e-07
NOx,02,1.6568316141274408e-07
NOx,09,1.679013621469494e-07
NOx,05,1.686232167230628e-07
NOx,04,1.679688637068466e-07
NOx,12,1.656514854175839e-07
NOx,08,1.6900692401122797e-07
methane,07,6.263506602266489e-09
methane,11,6.2340190787324445e-09
methane,10,6.246000161524989e-09
methane,06,6.2539080580847894e-09
methane,01,6.226724913460657e-09
methane,03,6.236475780241335e-09
methane,02,6.218844994521078e-09
methane,09,6.246663630804505e-09
methane,05,6.255618245631922e-09
methane,04,6.247578010487587e-09
methane,12,6.2174034809459044e-09
methane,08,6.260437057648005e-09
c6_olefins,07,4.358260696779581e-10
c6_olefins,11,4.309410606140318e-10
c6_olefins,10,4.3229544943734766e-10
c6_olefins,06,4.346987214631781e-10
c6_olefins,01,4.2869727212568876e-10
c6_olefins,03,4.3061132437571814e-10
c6_olefins,02,4.2981823655807716e-10
c6_olefins,09,4.33333591232099e-10
c6_olefins,05,4.3439613017781653e-10
c6_olefins,04,4.336443704122672e-10
c6_olefins,12,4.267559083892536e-10
c6_olefins,08,4.351239923927608e-10
ethylene,07,4.1403480643964485e-09
ethylene,11,4.093939853788697e-09
ethylene,10,4.106806894554893e-09
ethylene,06,4.1296379649224946e-09
ethylene,01,4.072624459894314e-09
ethylene,03,4.090806804413205e-09
ethylene,02,4.083273275057309e-09
ethylene,09,4.116669227727243e-09
ethylene,05,4.126763819556345e-09
ethylene,04,4.119621532794326e-09
ethylene,12,4.054181435009241e-09
ethylene,08,4.133677400375291e-09
isomers_of_xylene,07,9.906971909501294e-10
isomers_of_xylene,11,9.811493839606555e-10
isomers_of_xylene,10,9.837964887182693e-10
isomers_of_xylene,06,9.884937313131559e-10
isomers_of_xylene,01,9.767637809687812e-10
isomers_of_xylene,03,9.805047884725582e-10
isomers_of_xylene,02,9.78954584063274e-10
isomers_of_xylene,09,9.858255323180742e-10
isomers_of_xylene,05,9.879024265302405e-10
isomers_of_xylene,04,9.864330463571491e-10
isomers_of_xylene,12,9.729693717375199e-10
isomers_of_xylene,08,9.893248442693903e-10
isomers_of_pentane,07,3.378815671695179e-09
isomers_of_pentane,11,3.378815671695179e-09
isomers_of_pentane,10,3.378815671695179e-09
isomers_of_pentane,06,3.378815671695179e-09
isomers_of_pentane,01,3.378815671695179e-09
isomers_of_pentane,03,3.378815671695179e-09
isomers_of_pentane,02,3.378815671695179e-09
isomers_of_pentane,09,3.378815671695179e-09
isomers_of_pentane,05,3.378815671695179e-09
isomers_of_pentane,04,3.378815671695179e-09
isomers_of_pentane,12,3.378815671695179e-09
isomers_of_pentane,08,3.378815671695179e-09
ethane,07,2.15225948174691e-09
ethane,11,2.15225948174691e-09
ethane,10,2.15225948174691e-09
ethane,06,2.15225948174691e-09
ethane,01,2.15225948174691e-09
ethane,03,2.15225948174691e-09
ethane,02,2.15225948174691e-09
ethane,09,2.15225948174691e-09
ethane,05,2.15225948174691e-09
ethane,04,2.15225948174691e-09
ethane,12,2.15225948174691e-09
ethane,08,2.15225948174691e-09
